"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","view_history","rt","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","correct_response"
"true","false","[]","[]","[]","preload","0","51","0.0-0.0","530412","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3499","0.0-1.0","530412","[{""page_index"":0,""viewing_time"":1488},{""page_index"":1,""viewing_time"":858},{""page_index"":2,""viewing_time"":1100}]","3447","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","5687","0.0-2.0","530412","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","3","25412","0.0-3.0","530412","","19723","85.6","53.98","336","3.93","694.22","7.05585966924921","47.61999469240474","32.25535848799638","18.143639149497968","","","","","","","",""
"","","","","","html-keyboard-response","4","26051","0.0-4.0","530412","","638","","","","","","","","","","This is just trial run, press Space bar to continue"," ","","","","","",""
"","","","","","psychophysics","5","27339","0.0-5.0-0.0","530412","","1281","","","","","","","","","","","1","key","1","16.862740259740267","768","250","0"
"","","","","","psychophysics","6","28240","0.0-5.0-1.0","530412","","900","","","","","","","","","","","1","key","1","16.660962264150925","768","250","1"
"","","","","","psychophysics","7","29334","0.0-5.0-2.0","530412","","1090","","","","","","","","","","","1","key","1","16.65881538461539","768","250","1"
"","","","","","psychophysics","8","30265","0.0-5.0-3.0","530412","","929","","","","","","","","","","","1","key","1","16.65940740740741","768","250","0"
"","","","","","psychophysics","9","31153","0.0-5.0-4.0","530412","","886","","","","","","","","","","","1","key","1","16.662056603773586","768","250","1"
"","","","","","psychophysics","10","32013","0.0-5.0-5.0","530412","","853","","","","","","","","","","","1","key","1","16.66097999999998","768","250","1"
"","","","","","psychophysics","11","32806","0.0-5.0-6.0","530412","","791","","","","","","","","","","","1","key","1","16.666638297872385","768","250","1"
"","","","","","psychophysics","12","33856","0.0-5.0-7.0","530412","","1048","","","","","","","","","","","1","key","1","16.66474193548387","768","250","1"
"","","","","","html-keyboard-response","13","34917","0.0-6.0","530412","","1060","","","","","","","","","","You have successfully completed the pilot , Press Space bar to continue to main block of experiment"," ","","","","","",""
"","","","","","psychophysics","14","35685","0.0-7.0-0.0","530412","","766","","","","","","","","","","","1","key","1","16.685543478260946","768","250","0"
"","","","","","html-keyboard-response","15","36367","0.0-7.0-1.0","530412","","681","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","16","37091","0.0-7.0-2.0","530412","","722","","","","","","","","","","","1","key","1","16.57244186046507","768","250","1"
"","","","","","html-keyboard-response","17","37596","0.0-7.0-3.0","530412","","504","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","18","38403","0.0-7.0-4.0","530412","","802","","","","","","","","","","","1","key","1","16.69464583333335","768","250","1"
"","","","","","html-keyboard-response","19","38867","0.0-7.0-5.0","530412","","463","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","20","39653","0.0-7.0-6.0","530412","","785","","","","","","","","","","","1","key","1","16.657872340425495","768","250","1"
"","","","","","html-keyboard-response","21","40070","0.0-7.0-7.0","530412","","416","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","22","40836","0.0-7.0-8.0","530412","","759","","","","","","","","","","","1","key","1","16.77506521739127","768","250","1"
"","","","","","html-keyboard-response","23","41360","0.0-7.0-9.0","530412","","523","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","24","42183","0.0-7.0-10.0","530412","","819","","","","","","","","","","","1","key","1","16.694755102040773","768","250","1"
"","","","","","html-keyboard-response","25","42604","0.0-7.0-11.0","530412","","420","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","26","43408","0.0-7.0-12.0","530412","","801","","","","","","","","","","","1","key","1","16.52829166666652","768","250","0"
"","","","","","html-keyboard-response","27","43774","0.0-7.0-13.0","530412","","365","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","28","44738","0.0-7.0-14.0","530412","","960","","","","","","","","","","","1","key","1","16.48448275862079","768","250","1"
"","","","","","html-keyboard-response","29","45182","0.0-7.0-15.0","530412","","443","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","30","46066","0.0-7.0-16.0","530412","","879","","","","","","","","","","","1","key","1","16.74211320754721","768","250","1"
"","","","","","html-keyboard-response","31","46455","0.0-7.0-17.0","530412","","388","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","32","47287","0.0-7.0-18.0","530412","","828","","","","","","","","","","","1","key","1","16.537599999999948","768","250","0"
"","","","","","html-keyboard-response","33","47812","0.0-7.0-19.0","530412","","525","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","34","48597","0.0-7.0-20.0","530412","","780","","","","","","","","","","","1","key","1","16.700510638297853","768","250","1"
"","","","","","html-keyboard-response","35","49103","0.0-7.0-21.0","530412","","505","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","36","49865","0.0-7.0-22.0","530412","","757","","","","","","","","","","","1","key","1","16.710217391304308","768","250","0"
"","","","","","html-keyboard-response","37","50251","0.0-7.0-23.0","530412","","385","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","38","51003","0.0-7.0-24.0","530412","","749","","","","","","","","","","","1","key","1","16.81515555555557","768","250","1"
"","","","","","html-keyboard-response","39","51546","0.0-7.0-25.0","530412","","542","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","40","52364","0.0-7.0-26.0","530412","","814","","","","","","","","","","","1","key","1","16.684489795918385","768","250","1"
"","","","","","html-keyboard-response","41","52720","0.0-7.0-27.0","530412","","355","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","42","53546","0.0-7.0-28.0","530412","","822","","","","","","","","","","","1","key","1","16.57281999999992","768","250","1"
"","","","","","html-keyboard-response","43","54068","0.0-7.0-29.0","530412","","521","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","44","55003","0.0-7.0-30.0","530412","","930","","","","","","","","","","","1","key","1","16.696321428571405","768","250","1"
"","","","","","html-keyboard-response","45","55377","0.0-7.0-31.0","530412","","374","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","46","56144","0.0-7.0-32.0","530412","","763","","","","","","","","","","","1","key","1","16.88152173913034","768","250","0"
"","","","","","html-keyboard-response","47","56584","0.0-7.0-33.0","530412","","440","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","48","57401","0.0-7.0-34.0","530412","","814","","","","","","","","","","","1","key","1","16.765551020408214","768","250","1"
"","","","","","html-keyboard-response","49","57825","0.0-7.0-35.0","530412","","424","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","50","58642","0.0-7.0-36.0","530412","","815","","","","","","","","","","","1","key","1","16.76789795918368","768","250","1"
"","","","","","html-keyboard-response","51","59267","0.0-7.0-37.0","530412","","624","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","52","60252","0.0-7.0-38.0","530412","","980","","","","","","","","","","","1","key","1","16.631508474576364","768","250","1"
"","","","","","html-keyboard-response","53","60671","0.0-7.0-39.0","530412","","418","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","54","61559","0.0-7.0-40.0","530412","","883","","","","","","","","","","","1","key","1","16.7567735849056","768","250","1"
"","","","","","html-keyboard-response","55","61980","0.0-7.0-41.0","530412","","419","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","56","63433","0.0-7.0-42.0","530412","","1452","","","","","","","","","","","1","key","1","16.717011494252844","768","250","1"
"","","","","","html-keyboard-response","57","63957","0.0-7.0-43.0","530412","","524","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","58","64684","0.0-7.0-44.0","530412","","725","","","","","","","","","","","1","key","1","16.662860465116378","768","250","1"
"","","","","","html-keyboard-response","59","65093","0.0-7.0-45.0","530412","","409","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","60","65926","0.0-7.0-46.0","530412","","827","","","","","","","","","","","1","key","1","16.60411999999982","768","250","1"
"","","","","","html-keyboard-response","61","66351","0.0-7.0-47.0","530412","","424","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","62","67497","0.0-7.0-48.0","530412","","1140","","","","","","","","","","","1","key","1","16.73347058823535","768","250","1"
"","","","","","html-keyboard-response","63","67840","0.0-7.0-49.0","530412","","342","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","64","68663","0.0-7.0-50.0","530412","","819","","","","","","","","","","","1","key","1","16.80638775510217","768","250","1"
"","","","","","html-keyboard-response","65","69067","0.0-7.0-51.0","530412","","404","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","66","70039","0.0-7.0-52.0","530412","","967","","","","","","","","","","","1","key","1","16.746534482758605","768","250","1"
"","","","","","html-keyboard-response","67","70457","0.0-7.0-53.0","530412","","417","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","68","71323","0.0-7.0-54.0","530412","","862","","","","","","","","","","","1","key","1","16.80500000000001","768","250","0"
"","","","","","html-keyboard-response","69","71675","0.0-7.0-55.0","530412","","351","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","70","72470","0.0-7.0-56.0","530412","","791","","","","","","","","","","","1","key","1","16.821437500000076","768","250","1"
"","","","","","html-keyboard-response","71","72802","0.0-7.0-57.0","530412","","332","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","72","73671","0.0-7.0-58.0","530412","","865","","","","","","","","","","","1","key","1","16.82307692307698","768","250","1"
"","","","","","html-keyboard-response","73","74026","0.0-7.0-59.0","530412","","353","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","74","74887","0.0-7.0-60.0","530412","","857","","","","","","","","","","","1","key","1","16.801076923076973","768","250","1"
"","","","","","html-keyboard-response","75","75267","0.0-7.0-61.0","530412","","380","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","76","76065","0.0-7.0-62.0","530412","","796","","","","","","","","","","","1","key","1","16.805382978723465","768","250","0"
"","","","","","html-keyboard-response","77","76389","0.0-7.0-63.0","530412","","323","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","78","77168","0.0-7.0-64.0","530412","","777","","","","","","","","","","","1","key","1","16.823957446808716","768","250","1"
"","","","","","html-keyboard-response","79","77537","0.0-7.0-65.0","530412","","369","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","80","78328","0.0-7.0-66.0","530412","","790","","","","","","","","","","","1","key","1","16.8046170212765","768","250","1"
"","","","","","html-keyboard-response","81","78685","0.0-7.0-67.0","530412","","356","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","82","79494","0.0-7.0-68.0","530412","","804","","","","","","","","","","","1","key","1","16.805895833333427","768","250","0"
"","","","","","html-keyboard-response","83","79827","0.0-7.0-69.0","530412","","333","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","84","80722","0.0-7.0-70.0","530412","","893","","","","","","","","","","","1","key","1","16.484203703703653","768","250","1"
"","","","","","html-keyboard-response","85","81060","0.0-7.0-71.0","530412","","337","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","86","81933","0.0-7.0-72.0","530412","","868","","","","","","","","","","","1","key","1","16.496037735848937","768","250","0"
"","","","","","html-keyboard-response","87","82266","0.0-7.0-73.0","530412","","332","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","88","83176","0.0-7.0-74.0","530412","","906","","","","","","","","","","","1","key","1","16.811018518518487","768","250","1"
"","","","","","html-keyboard-response","89","83521","0.0-7.0-75.0","530412","","344","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","90","84375","0.0-7.0-76.0","530412","","847","","","","","","","","","","","1","key","1","16.802176470588094","768","250","0"
"","","","","","html-keyboard-response","91","84702","0.0-7.0-77.0","530412","","326","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","92","85628","0.0-7.0-78.0","530412","","921","","","","","","","","","","","1","key","1","16.8142181818183","768","250","1"
"","","","","","html-keyboard-response","93","86067","0.0-7.0-79.0","530412","","439","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","html-keyboard-response","94","112898","0.0-8.0","530412","","26829","","","","","","","","","","Your average response time is  null ms You are doing great"," ","","","","","",""
"","","","","","html-button-response","95","174444","0.0-9.0","530412","","61545","","","","","","","","","","<p>You have successfully completed one block of the experiment. The next part of the experiment can be started in <span id=""clock"">1:00</span> <br>You can take a break for a minute or more if you like and Press continue when you are ready","0","","","","","",""
"","","","","","psychophysics","96","175936","0.0-10.0-0.0","530412","","1489","","","","","","","","","","","1","key","1","16.627833333333385","740.8","250","2"
"","","","","","html-keyboard-response","97","176908","0.0-10.0-1.0","530412","","971","","","","","","","","","","
    <p>How confident are you in your response? Press the corresponding keys from 1 to 5 based on your experience</p>
    <ul id=""confidence-levels"">
      <li id=""conf-1"">1: Not at all confident</li>
      <li id=""conf-2"">2: Slightly confident</li>
      <li id=""conf-3"">3: Somewhat confident</li>
      <li id=""conf-4"">4: Very confident</li>
      <li id=""conf-5"">5: Completely confident</li>
    </ul>","1","","","","","",""
"","","","","","psychophysics","98","177871","0.0-10.0-2.0","530412","","958","","","","","","","","","","","1","key","1","16.641310344827524","740.8","250","2"
